power_demand_MWh,is_weekend,hour_sin,hour_cos,resident_pop,working_pop,visitor_pop,total_visitors,renewable_energy_mwh,TA_mean,HM_mean,HM_max,tropical_night,CDD,power_1h,power_24h,power_48h,power_168h
599.113,0,0.8660254037844387,-0.4999999999999998,140292.0,19366.0,108631.0,32466.0,65.33,21.975,74.5,81.0,0,0.0,547.295,591.255,613.204,657.977
624.26,0,0.7071067811865476,-0.7071067811865475,140292.0,19366.0,108631.0,32466.0,104.96,22.95,71.25,81.0,0,0.0,599.113,616.799,642.605,704.457
636.801,0,0.49999999999999994,-0.8660254037844387,140292.0,19366.0,108631.0,32466.0,136.44,23.375,67.75,75.0,0,0.0,624.26,619.871,649.083,722.41
641.195,0,0.258819045102521,-0.9659258262890682,140292.0,19366.0,108631.0,32466.0,142.79,24.175,64.0,75.0,0,0.0,636.801,608.356,640.691,730.679
646.972,0,1.2246467991473532e-16,-1.0,140292.0,19366.0,108631.0,32466.0,118.46,24.475,62.75,73.0,0,0.0,641.195,595.784,622.869,723.72
667.426,0,-0.2588190451025208,-0.9659258262890683,140292.0,19366.0,108631.0,32466.0,101.27000000000001,24.325,66.0,83.0,0,0.0,646.972,610.274,624.086,736.887
667.27,0,-0.4999999999999997,-0.8660254037844388,140292.0,19366.0,108631.0,32466.0,84.56,24.1,65.25,78.0,0,0.0,667.426,616.095,637.835,734.941
662.757,0,-0.7071067811865471,-0.7071067811865479,140292.0,19366.0,108631.0,32466.0,70.21,23.95,68.25,73.0,0,0.0,667.27,625.828,640.553,722.693
663.97,0,-0.8660254037844384,-0.5000000000000004,140292.0,19366.0,108631.0,32466.0,56.09,22.775,78.5,88.0,0,0.0,662.757,644.951,647.85,714.9
668.485,0,-0.9659258262890683,-0.25881904510252063,140292.0,19366.0,108631.0,32466.0,37.79,23.55,70.5,75.0,0,0.0,663.97,659.354,654.684,707.264
672.352,0,-1.0,-1.8369701987210297e-16,140292.0,19366.0,108631.0,32466.0,19.21,23.35,73.75,77.0,0,0.0,668.485,666.234,656.319,699.501
685.039,0,-0.9659258262890684,0.2588190451025203,140292.0,19366.0,108631.0,32466.0,13.09,23.225,75.25,82.0,0,0.0,672.352,677.332,664.264,698.471
684.389,0,-0.8660254037844386,0.5000000000000001,140292.0,19366.0,108631.0,32466.0,9.65,22.8,78.0,84.0,0,0.0,685.039,677.718,664.931,691.235
659.845,0,-0.7071067811865477,0.7071067811865474,140292.0,19366.0,108631.0,32466.0,3.63,22.625,77.0,86.0,0,0.0,684.389,653.867,641.746,664.367
621.599,0,-0.5000000000000004,0.8660254037844384,140292.0,19366.0,108631.0,32466.0,2.52,22.275,78.0,87.0,0,0.0,659.845,618.03,608.882,632.236
593.782,0,-0.25881904510252157,0.9659258262890681,140292.0,19366.0,108631.0,32466.0,2.98,22.325,78.0,88.0,0,0.0,621.599,591.111,581.418,607.961
550.974,0,0.0,1.0,147460.0,16243.0,79726.0,33498.0,2.44,22.325,79.0,90.0,0,0.0,593.782,547.208,537.796,562.231
517.166,0,0.25881904510252074,0.9659258262890683,147460.0,16243.0,79726.0,33498.0,4.89,22.575,76.5,89.0,0,0.0,550.974,514.216,509.852,531.928
497.81,0,0.49999999999999994,0.8660254037844387,147460.0,16243.0,79726.0,33498.0,4.24,22.3,83.5,90.0,0,0.0,517.166,493.504,488.905,511.024
487.061,0,0.7071067811865475,0.7071067811865476,147460.0,16243.0,79726.0,33498.0,4.8,22.05,89.25,92.0,0,0.0,497.81,481.323,479.2,499.173
483.441,0,0.8660254037844386,0.5000000000000001,147460.0,16243.0,79726.0,33498.0,13.18,22.125,89.25,92.0,0,0.0,487.061,481.317,480.823,497.444
491.478,0,0.9659258262890683,0.25881904510252074,147460.0,16243.0,79726.0,33498.0,10.48,21.8,92.25,95.0,0,0.0,483.441,489.251,489.976,503.994
517.874,0,1.0,6.123233995736766e-17,147460.0,16243.0,79726.0,33498.0,13.459999999999999,21.950000000000003,91.0,91.0,0,0.0,491.478,516.025,518.317,529.992
566.878,0,0.9659258262890683,-0.25881904510252063,147460.0,16243.0,79726.0,33498.0,35.44,21.575,92.5,94.0,0,0.0,517.874,547.295,555.337,563.76
629.379,0,0.8660254037844387,-0.4999999999999998,147460.0,16243.0,79726.0,33498.0,34.47,21.525,93.25,96.0,0,0.0,566.878,599.113,591.255,607.319
671.963,0,0.7071067811865476,-0.7071067811865475,147460.0,16243.0,79726.0,33498.0,38.660000000000004,21.3,94.0,98.0,0,0.0,629.379,624.26,616.799,635.374
695.403,0,0.49999999999999994,-0.8660254037844387,147460.0,16243.0,79726.0,33498.0,51.53,21.025,96.0,99.0,0,0.0,671.963,636.801,619.871,642.427
685.009,0,0.258819045102521,-0.9659258262890682,147460.0,16243.0,79726.0,33498.0,104.17,20.7,97.25,100.0,0,0.0,695.403,641.195,608.356,637.81
669.386,0,1.2246467991473532e-16,-1.0,147460.0,16243.0,79726.0,33498.0,128.0,21.275,97.5,100.0,0,0.0,685.009,646.972,595.784,628.784
684.964,0,-0.2588190451025208,-0.9659258262890683,147460.0,16243.0,79726.0,33498.0,135.37,21.5,94.5,99.0,0,0.0,669.386,667.426,610.274,645.615
668.74,0,-0.4999999999999997,-0.8660254037844388,147460.0,16243.0,79726.0,33498.0,120.74000000000001,21.25,95.5,99.0,0,0.0,684.964,667.27,616.095,651.211
661.548,0,-0.7071067811865471,-0.7071067811865479,147460.0,16243.0,79726.0,33498.0,112.14,21.625,94.25,99.0,0,0.0,668.74,662.757,625.828,661.029
666.07,0,-0.8660254037844384,-0.5000000000000004,147460.0,16243.0,79726.0,33498.0,84.11,21.575,92.25,95.0,0,0.0,661.548,663.97,644.951,673.101
671.248,0,-0.9659258262890683,-0.25881904510252063,147460.0,16243.0,79726.0,33498.0,53.49,22.0,91.25,99.0,0,0.0,666.07,668.485,659.354,678.64
672.142,0,-1.0,-1.8369701987210297e-16,147460.0,16243.0,79726.0,33498.0,41.18,21.8,91.25,99.0,0,0.0,671.248,672.352,666.234,679.987
675.685,0,-0.9659258262890684,0.2588190451025203,147460.0,16243.0,79726.0,33498.0,52.85,20.725,95.25,99.0,0,0.0,672.142,685.039,677.332,689.299
672.457,0,-0.8660254037844386,0.5000000000000001,147460.0,16243.0,79726.0,33498.0,51.44,20.325,97.5,100.0,0,0.0,675.685,684.389,677.718,690.688
649.743,0,-0.7071067811865477,0.7071067811865474,147460.0,16243.0,79726.0,33498.0,46.63,20.325,97.5,100.0,0,0.0,672.457,659.845,653.867,666.291
619.707,0,-0.5000000000000004,0.8660254037844384,147460.0,16243.0,79726.0,33498.0,45.5,20.45,97.5,100.0,0,0.0,649.743,621.599,618.03,630.911
597.517,0,-0.25881904510252157,0.9659258262890681,147460.0,16243.0,79726.0,33498.0,52.26,20.575,97.5,100.0,0,0.0,619.707,593.782,591.111,604.002
553.199,1,0.0,1.0,247197.0,20294.0,145483.0,31452.0,57.27,20.4,97.25,100.0,0,0.0,597.517,550.974,547.208,560.117
520.403,1,0.25881904510252074,0.9659258262890683,247197.0,20294.0,145483.0,31452.0,55.37,20.35,97.5,100.0,0,0.0,553.199,517.166,514.216,528.783
499.434,1,0.49999999999999994,0.8660254037844387,247197.0,20294.0,145483.0,31452.0,45.77,20.275,97.0,100.0,0,0.0,520.403,497.81,493.504,507.887
486.777,1,0.7071067811865475,0.7071067811865476,247197.0,20294.0,145483.0,31452.0,34.12,20.275,96.25,99.0,0,0.0,499.434,487.061,481.323,494.838
485.109,1,0.8660254037844386,0.5000000000000001,247197.0,20294.0,145483.0,31452.0,30.49,20.05,96.75,100.0,0,0.0,486.777,483.441,481.317,489.285
490.552,1,0.9659258262890683,0.25881904510252074,247197.0,20294.0,145483.0,31452.0,24.2,20.05,96.75,99.0,0,0.0,485.109,491.478,489.251,496.288
511.379,1,1.0,6.123233995736766e-17,247197.0,20294.0,145483.0,31452.0,18.34,20.1,96.25,100.0,0,0.0,490.552,517.874,516.025,511.688
538.35,1,0.9659258262890683,-0.25881904510252063,247197.0,20294.0,145483.0,31452.0,22.11,20.325,95.0,100.0,0,0.0,511.379,566.878,547.295,534.171
569.876,1,0.8660254037844387,-0.4999999999999998,247197.0,20294.0,145483.0,31452.0,33.55,20.525,93.75,99.0,0,0.0,538.35,629.379,599.113,561.183
